# Chunk-averaged data for fix avDen and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
100000 2286 8360352
  1 -57.1214 1.45754 0.080337
  2 -57.0714 1.50549 0.08298
  3 -57.0214 1.44056 0.0794009
  4 -56.9714 1.45155 0.0800066
  5 -56.9214 1.44655 0.0797313
  6 -56.8714 1.47552 0.0813281
  7 -56.8214 1.48452 0.0818237
  8 -56.7714 1.39161 0.0767028
  9 -56.7214 1.44256 0.079511
  10 -56.6714 1.52248 0.0839161
  11 -56.6214 1.48851 0.0820439
  12 -56.5714 1.47353 0.081218
  13 -56.5214 1.50649 0.083035
  14 -56.4714 1.51648 0.0835857
  15 -56.4214 1.49451 0.0823743
  16 -56.3714 1.46354 0.0806673
  17 -56.3214 1.51349 0.0834205
  18 -56.2714 1.45155 0.0800066
  19 -56.2214 1.46953 0.0809977
  20 -56.1714 1.46154 0.0805572
  21 -56.1214 1.55345 0.085623
  22 -56.0714 1.50949 0.0832002
  23 -56.0214 1.42458 0.0785199
  24 -55.9714 1.42158 0.0783547
  25 -55.9214 1.46254 0.0806123
  26 -55.8714 1.43257 0.0789604
  27 -55.8214 1.44156 0.079456
  28 -55.7714 1.45854 0.080392
  29 -55.7214 1.50949 0.0832002
  30 -55.6714 1.43157 0.0789053
  31 -55.6214 1.47253 0.0811629
  32 -55.5714 1.46054 0.0805021
  33 -55.5214 1.44156 0.079456
  34 -55.4714 1.43257 0.0789604
  35 -55.4214 1.46254 0.0806123
  36 -55.3714 1.39061 0.0766477
  37 -55.3214 1.44456 0.0796211
  38 -55.2714 1.46753 0.0808876
  39 -55.2214 1.44056 0.0794009
  40 -55.1714 1.48551 0.0818787
  41 -55.1214 1.44156 0.079456
  42 -55.0714 1.4026 0.0773085
  43 -55.0214 1.46154 0.0805572
  44 -54.9714 1.47153 0.0811078
  45 -54.9214 1.45355 0.0801167
  46 -54.8714 1.35365 0.0746104
  47 -54.8214 1.45155 0.0800066
  48 -54.7714 1.44356 0.0795661
  49 -54.7214 1.44056 0.0794009
  50 -54.6714 1.38462 0.0763174
  51 -54.6214 1.46254 0.0806123
  52 -54.5714 1.54246 0.0850173
  53 -54.5214 1.43756 0.0792357
  54 -54.4714 1.53746 0.084742
  55 -54.4214 1.45554 0.0802268
  56 -54.3714 1.56144 0.0860635
  57 -54.3214 1.5045 0.0829249
  58 -54.2714 1.47552 0.0813281
  59 -54.2214 1.44655 0.0797313
  60 -54.1714 1.58042 0.0871097
  61 -54.1214 1.56643 0.0863388
  62 -54.0714 1.44755 0.0797863
  63 -54.0214 1.48851 0.0820439
  64 -53.9714 1.5025 0.0828148
  65 -53.9214 1.44755 0.0797863
  66 -53.8714 1.48751 0.0819889
  67 -53.8214 1.4985 0.0825945
  68 -53.7714 1.51449 0.0834756
  69 -53.7214 1.44056 0.0794009
  70 -53.6714 1.47552 0.0813281
  71 -53.6214 1.47153 0.0811078
  72 -53.5714 1.43856 0.0792908
  73 -53.5214 1.45355 0.0801167
  74 -53.4714 1.44356 0.0795661
  75 -53.4214 1.49351 0.0823192
  76 -53.3714 1.5025 0.0828148
  77 -53.3214 1.6014 0.088266
  78 -53.2714 1.57842 0.0869996
  79 -53.2214 1.57243 0.0866692
  80 -53.1714 1.5994 0.0881559
  81 -53.1214 1.4965 0.0824844
  82 -53.0714 1.45954 0.0804471
  83 -53.0214 1.48651 0.0819338
  84 -52.9714 1.48452 0.0818237
  85 -52.9214 1.52847 0.0842464
  86 -52.8714 1.52148 0.083861
  87 -52.8214 1.48452 0.0818237
  88 -52.7714 1.53147 0.0844116
  89 -52.7214 1.5025 0.0828148
  90 -52.6714 1.48252 0.0817135
  91 -52.6214 1.47253 0.0811629
  92 -52.5714 1.4995 0.0826496
  93 -52.5214 1.47053 0.0810528
  94 -52.4714 1.55844 0.0858983
  95 -52.4214 1.48052 0.0816034
  96 -52.3714 1.51049 0.0832553
  97 -52.3214 1.54346 0.0850724
  98 -52.2714 1.45255 0.0800616
  99 -52.2214 1.54246 0.0850173
  100 -52.1714 1.55145 0.0855129
  101 -52.1214 1.56244 0.0861186
