# Chunk-averaged data for fix avDen and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
100000 2286 8360352
  1 -57.1214 1.35564 0.0747205
  2 -57.0714 1.40859 0.0776389
  3 -57.0214 1.41958 0.0782446
  4 -56.9714 1.43357 0.0790154
  5 -56.9214 1.43057 0.0788503
  6 -56.8714 1.41059 0.077749
  7 -56.8214 1.44555 0.0796762
  8 -56.7714 1.39061 0.0766477
  9 -56.7214 1.42058 0.0782996
  10 -56.6714 1.38362 0.0762623
  11 -56.6214 1.42158 0.0783547
  12 -56.5714 1.36064 0.0749958
  13 -56.5214 1.35864 0.0748857
  14 -56.4714 1.36663 0.0753262
  15 -56.4214 1.34865 0.0743351
  16 -56.3714 1.42258 0.0784098
  17 -56.3214 1.41558 0.0780243
  18 -56.2714 1.42458 0.0785199
  19 -56.2214 1.35764 0.0748307
  20 -56.1714 1.39461 0.076868
  21 -56.1214 1.39261 0.0767579
  22 -56.0714 1.38062 0.0760971
  23 -56.0214 1.36464 0.0752161
  24 -55.9714 1.3956 0.0769231
  25 -55.9214 1.42757 0.0786851
  26 -55.8714 1.38462 0.0763174
  27 -55.8214 1.37363 0.0757117
  28 -55.7714 1.47453 0.081273
  29 -55.7214 1.38062 0.0760971
  30 -55.6714 1.45654 0.0802819
  31 -55.6214 1.33666 0.0736743
  32 -55.5714 1.38262 0.0762072
  33 -55.5214 1.41958 0.0782446
  34 -55.4714 1.35265 0.0745553
  35 -55.4214 1.42258 0.0784098
  36 -55.3714 1.43457 0.0790705
  37 -55.3214 1.36963 0.0754914
  38 -55.2714 1.38362 0.0762623
  39 -55.2214 1.41159 0.0778041
  40 -55.1714 1.40659 0.0775287
  41 -55.1214 1.42957 0.0787952
  42 -55.0714 1.38661 0.0764275
  43 -55.0214 1.37263 0.0756566
  44 -54.9714 1.34665 0.074225
  45 -54.9214 1.36464 0.0752161
  46 -54.8714 1.42258 0.0784098
  47 -54.8214 1.37762 0.0759319
  48 -54.7714 1.40659 0.0775287
  49 -54.7214 1.37862 0.075987
  50 -54.6714 1.37363 0.0757117
  51 -54.6214 1.41558 0.0780243
  52 -54.5714 1.4036 0.0773636
  53 -54.5214 1.43856 0.0792908
  54 -54.4714 1.43057 0.0788503
  55 -54.4214 1.35165 0.0745003
  56 -54.3714 1.3986 0.0770882
  57 -54.3214 1.38262 0.0762072
  58 -54.2714 1.37862 0.075987
  59 -54.2214 1.36264 0.075106
  60 -54.1714 1.33966 0.0738395
  61 -54.1214 1.39461 0.076868
  62 -54.0714 1.36064 0.0749958
  63 -54.0214 1.37463 0.0757667
  64 -53.9714 1.38062 0.0760971
  65 -53.9214 1.41459 0.0779692
  66 -53.8714 1.3996 0.0771433
  67 -53.8214 1.4016 0.0772534
