# Time-averaged data for fix thAvgFix
# TimeStep v_myPE v_myPress
1000 -3.82993 20.4425
2000 -3.81362 20.5389
3000 -3.78755 20.6722
4000 -3.82594 20.4777
5000 -3.84458 20.3581
6000 -3.806 20.562
7000 -3.80713 20.555
8000 -3.8014 20.628
9000 -3.76499 20.8096
10000 -3.80797 20.5733
11000 -3.78443 20.7168
12000 -3.81242 20.5515
13000 -3.81659 20.5125
14000 -3.78405 20.7002
15000 -3.78634 20.6914
16000 -3.79358 20.6505
17000 -3.80921 20.5531
18000 -3.84572 20.3566
19000 -3.83256 20.427
20000 -3.83234 20.4367
21000 -3.82754 20.4511
22000 -3.78834 20.6719
23000 -3.79835 20.6078
24000 -3.81802 20.5115
25000 -3.8202 20.4942
26000 -3.73908 20.9451
27000 -3.76338 20.8043
28000 -3.81977 20.5096
29000 -3.81307 20.5712
30000 -3.79483 20.6257
31000 -3.80402 20.5698
32000 -3.83304 20.4356
33000 -3.78736 20.6737
34000 -3.81848 20.5125
35000 -3.84115 20.3859
36000 -3.77169 20.7794
37000 -3.77697 20.7631
38000 -3.80288 20.5867
39000 -3.82343 20.4619
40000 -3.83691 20.4042
41000 -3.8086 20.5639
42000 -3.8066 20.5816
43000 -3.79932 20.6323
44000 -3.80425 20.5993
45000 -3.78393 20.7113
46000 -3.8309 20.4397
47000 -3.81903 20.4999
48000 -3.83622 20.3941
49000 -3.77791 20.7512
50000 -3.81022 20.5611
51000 -3.78532 20.7113
52000 -3.81268 20.5557
53000 -3.78936 20.6815
54000 -3.78352 20.713
55000 -3.7887 20.6521
56000 -3.76919 20.792
57000 -3.76412 20.8155
58000 -3.79372 20.6429
59000 -3.76404 20.8309
60000 -3.84141 20.3708
61000 -3.80396 20.5599
62000 -3.77349 20.7676
63000 -3.7755 20.7391
64000 -3.77459 20.7905
65000 -3.79192 20.6603
66000 -3.86355 20.2521
67000 -3.84082 20.3849
68000 -3.79213 20.6479
69000 -3.78663 20.6613
70000 -3.7491 20.9194
71000 -3.80167 20.599
72000 -3.79002 20.6623
73000 -3.80808 20.5651
74000 -3.78885 20.6748
75000 -3.84758 20.3237
76000 -3.83257 20.4165
77000 -3.83125 20.4235
78000 -3.81588 20.5334
79000 -3.77587 20.7453
80000 -3.82094 20.4848
